School,Year,Virginian/Non-Virginian,Tuition,Fees,Subtotal
College of Arts and Sciences,"1,2,4",Virginian,"$14,188.00","$3,230.00","$17,418.00"
College of Arts and Sciences,"1,2,4",Non-Virginian,"$48,036.00","$3,912.00","$51,948.00"
College of Arts and Sciences,3,Virginian,"$16,888.00","$3,230.00","$20,118.00"
College of Arts and Sciences,3,Non-Virginian,"$50,736.00","$3,912.00","$54,648.00"
School of Architecture,"1,2,3,4",Virginian,"$15,224.00","$3,292.00","$18,516.00"
School of Architecture,"1,2,3,4",Non-Virginian,"$49,110.00","$3,974.00","$53,084.00"
School of Education and Human Development,"1,2,3,4",Virginian,"$14,188.00","$3,242.00","$17,430.00"
School of Education and Human Development,"1,2,3,4",Non-Virginian,"$48,036.00","$3,924.00","$51,960.00"
School of Commerce (McIntire),"3,4",Virginian,"$24,796.00","$3,308.00","$28,104.00"
School of Commerce (McIntire),"3,4",Non-Virginian,"$59,040.00","$3,990.00","$63,030.00"
School of Engineering & Applied Science,1,Virginian,"$22,566.00","$3,242.00","$25,808.00"
School of Engineering & Applied Science,1,Non-Virginian,"$56,730.00","$3,924.00","$60,654.00"
School of Engineering & Applied Science,2,Virginian,"$21,566.00","$3,242.00","$24,808.00"
School of Engineering & Applied Science,2,Non-Virginian,"$55,730.00","$3,924.00","$59,654.00"
School of Engineering & Applied Science,3,Virginian,"$19,566.00","$3,242.00","$22,808.00"
School of Engineering & Applied Science,3,Non-Virginian,"$54,730.00","$3,924.00","$58,654.00"
School of Engineering & Applied Science,4,Virginian,"$19,566.00","$3,242.00","$22,808.00"
School of Engineering & Applied Science,4,Non-Virginian,"$53,694.00","$3,924.00","$57,618.00"
School of Leadership & Public Policy (Batten),"3,4",Virginian,"$24,742.00","$3,258.00","$28,000.00"
School of Leadership & Public Policy (Batten),"3,4",Non-Virginian,"$58,956.00","$3,940.00","$62,896.00"
School of Nursing,"1,2",Virginian,"$18,260.00","$3,246.00","$21,506.00"
School of Nursing,"1,2",Non-Virginian,"$52,218.00","$3,928.00","$56,146.00"
School of Nursing,3,Virginian,"$16,260.00","$3,246.00","$19,506.00"
School of Nursing,3,Non-Virginian,"$51,218.00","$3,928.00","$55,146.00"
School of Nursing,4,Virginian,"$16,260.00","$3,246.00","$19,506.00"
School of Nursing,4,Non-Virginian,"$50,182.00","$3,928.00","$54,110.00"